PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=173 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=141 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=212 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=142 ms

--- 10.0.0.2 ping statistics ---
300 packets transmitted, 211 received, 29% packet loss, time 30556ms
rtt min/avg/max/mdev = 3.935/175.576/229.758/29.192 ms, pipe 3
