PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=836 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=835 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=838 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=847 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=855 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=858 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=860 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=851 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=824 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=826 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=710 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=703 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=705 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=717 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=779 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=853 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=861 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=875 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=881 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=888 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=902 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=908 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=929 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=926 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=941 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=948 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=969 ms
